lat,lon,azi
-75.381481,157.41287,31.120226
-75.331765,157.49871,20.274851
-75.279203,157.56100,17.480868
-75.227460,157.62603,25.433051
-75.182222,157.74215,39.776685
-75.145242,157.89904,51.223030
-75.115050,158.07880,53.693325
-75.081617,158.24801,53.007837
-75.050395,158.42364,53.164834
-75.017700,158.59032,42.545704
-74.972160,158.70823,35.567648
-74.929337,158.83818,37.635211
-74.922433,159.85331,37.364628
-74.879318,159.98199,42.252182
-74.842823,160.13748,46.993072
-74.805950,160.29178,43.545606
-74.764714,160.42836,39.743101
-74.722785,160.56109,39.465295
-74.681190,160.69541,40.786946
-74.640856,160.83520,44.113240
-74.603757,160.98665,48.901413
-74.570153,161.15024,51.538607
-74.536711,161.31484,56.869551
-74.511648,161.49980,64.676477
-74.491206,161.69278,54.344301
-74.451096,161.82742,33.438401
-74.401573,161.91786,20.370397
-74.348747,161.96910,8.0827946
-74.294446,161.97147,0.63086086
-74.239580,161.96895,3.0663370
-74.185216,161.98884,0.84651099
-74.130923,161.97046,353.06925
-74.076861,161.93478,358.58675
-74.022493,161.95561,15.629851
-73.974134,162.03795,33.727521
-73.933816,162.17400,45.336805
-73.897015,162.32815,47.413205
-73.859882,162.47312,35.748912
-73.811811,162.55372,24.772977
-68.837121,89.238229,129.72335
-68.872797,89.352342,126.21169
-68.902931,89.476882,108.27274
-68.907014,89.628072,95.804872
-68.914361,89.776439,94.987642
-68.916780,89.926191,98.678031
-68.931338,90.072405,111.36458
-68.957670,90.204349,127.79544
-68.999446,90.306367,145.80874
-69.050196,90.372126,154.68117
-69.101627,90.435781,148.60098
-69.146083,90.529230,138.53377
-69.186137,90.636555,138.69250
-69.231359,90.731028,129.22401
-69.255000,90.864194,119.91155
-69.286427,90.989461,122.29315
-69.315139,91.121491,125.00014
-69.351205,91.239935,129.00067
-69.386416,91.360266,130.99299
-69.425378,91.471853,136.86060
-69.468849,91.570624,141.64917
-69.514096,91.663478,143.28543
-69.559788,91.756209,140.67857
-69.601602,91.860023,132.42621
-69.635682,91.984211,130.02549
-69.674326,92.098057,133.17103
-69.713153,92.211724,133.00437
-69.751568,92.326644,133.11508
-69.790533,92.440250,135.40268
-69.832140,92.546782,137.15827
-69.873561,92.654084,137.16569
-69.915174,92.761006,137.14049
-69.956573,92.868876,135.72163
-69.996329,92.982079,137.47029
-70.039805,93.082590,143.87340
-70.087494,93.168923,143.39236
-70.130357,93.271962,136.81917
-70.169879,93.386798,136.80762
-70.212882,93.490673,141.09540
-70.257960,93.588045,143.42655
-70.303974,93.682533,141.29883
-70.346143,93.789018,134.18437
-70.382666,93.913050,134.16187
-70.424639,94.019490,142.82514
-70.472362,94.107734,146.41033
-70.519201,94.199851,144.34096
-70.564460,94.297874,144.33499
-70.611156,94.390152,146.61630
-70.658971,94.478003,146.06272
-70.705045,94.573334,142.70558
-70.749012,94.677155,139.77512
-70.791539,94.786113,136.98272
-70.831857,94.902337,133.34869
-70.869492,95.026976,134.26828
-70.910829,95.139096,141.36971
-70.957532,95.233371,138.35722
-70.994701,95.358330,131.34114
-71.032360,95.483378,134.32967
-71.073960,95.597451,133.62352
-71.110346,95.725048,127.47138
-71.142832,95.862866,129.16860
-71.181799,95.984653,134.70429
-71.222582,96.102236,132.06587
-71.257606,96.234561,126.57315
-71.290181,96.373341,127.11223
-71.326131,96.504520,131.85411
-71.365827,96.625891,137.32405
-71.409410,96.735016,138.50015
-71.450627,96.851753,134.05827
-71.488158,96.980213,133.57773
-71.528842,97.099831,136.32871
-71.570244,97.217465,133.87349
-71.607292,97.347242,129.16891
-71.641867,97.484119,130.38391
-71.680794,97.609904,133.39652
-71.719856,97.735639,130.34162
-71.754253,97.873946,129.33408
-71.791721,98.003708,136.82837
-71.836972,98.112285,140.37582
-71.879281,98.227269,130.31674
-71.908992,98.373640,117.89198
-71.932404,98.535061,114.29373
-71.956253,98.694337,115.68502
-71.981888,98.850881,118.51495
-72.010663,99.002676,119.32120
-72.037731,99.157597,117.58234
-72.063499,99.314808,119.96712
-72.094678,99.463224,119.72458
-72.119875,99.620822,112.54147
-72.138427,99.788680,109.56070
-72.158367,99.954620,114.41099
-72.185667,100.11116,123.84454
-72.221559,100.24874,134.07976
-72.264513,100.36708,139.87017
-72.308384,100.48001,135.37159
-72.344937,100.61807,129.27199
-72.380461,100.75838,127.86501
-72.414720,100.90187,127.25348
-72.449273,101.04494,127.54219
-72.483986,101.18792,129.11137
-72.520997,101.32570,130.57247
-72.558005,101.46382,127.84411
-72.590746,101.61244,124.52799
-72.622618,101.76375,120.15724
-72.648003,101.92683,126.11902
-72.688698,102.05410,130.92532
-72.722079,102.20227,130.53074
-72.762749,102.33373,128.20263
-72.791754,102.48843,121.19338
-72.821359,102.64572,126.78876
-72.859553,102.78218,131.99829
-72.896842,102.91883,127.10331
-72.927737,103.07566,126.13983
-72.964060,103.21877,130.54151
-73.001758,103.35907,119.82472
-73.019505,103.53390,112.86222
-73.045972,103.69877,114.56929
-73.067667,103.87634,132.32494
-73.116837,103.95527,138.06683
-73.148183,104.11674,119.05154
-73.172911,104.28669,118.30112
-73.202495,104.44814,120.98569
-73.231825,104.61035,119.45672
-73.258783,104.77708,115.92136
-73.282007,104.95047,109.33816
-73.296951,105.13269,106.31779
-73.314546,105.31202,110.73346
-73.337718,105.48622,114.85723
-73.362916,105.65709,118.45624
-73.392346,105.82111,122.57521
-73.424544,105.97933,128.44860
-73.462601,106.11866,118.91192
-73.478299,106.30484,109.84628
-73.501729,106.47717,121.01711
-73.536756,106.63134,122.86267
-73.563609,106.80008,116.41448
-73.587703,106.97543,116.56261
-73.615013,107.14554,122.19577
-73.648557,107.30259,127.39100
-73.684105,107.45356,123.16282
-73.710817,107.62681,109.93040
-73.723233,107.81522,103.88766
-73.738882,108.00175,116.58714
-73.773854,108.15814,135.04821
-73.818988,108.27807,140.99293
-73.862061,108.40701,137.26449
-73.902478,108.54667,140.05389
-73.949167,108.66220,135.48331
-73.981417,108.81808,125.84229
-74.014894,108.97838,129.56713
-74.053766,109.12393,126.60658
-74.082594,109.29677,121.02464
-74.112935,109.46630,121.58422
-74.142651,109.63759,118.42814
-74.167600,109.81805,116.75736
-74.194441,109.99517,117.44783
-74.220437,110.17309,110.34335
-74.234512,110.36878,97.521595
-74.236462,110.56808,90.706643
-74.237324,110.76840,85.727621
-74.229551,110.96562,83.203094
-74.225481,111.16467,92.523692
-74.235906,111.36210,102.71940
-74.251620,111.55587,106.71369
-74.269637,111.74755,107.31986
-74.286460,111.94026,104.80248
-74.299557,112.13434,113.77694
-74.332215,112.30328,124.08699
-74.364100,112.47302,115.93661
-74.382120,112.66464,108.90571
-74.401421,112.85203,117.23532
-74.433956,113.02086,120.44715
-74.459578,113.20426,115.79798
-74.484242,113.38942,117.14417
